L1,age,sex,years_music,AOA,LOR,L2class_age,L2class_length,pitch_thresh,matched_for_pitch_thresh,dur_thresh,DSA_pitch_performance,DSA_amplitude_performance,DSA_pitch_pitch_weight,DSA_pitch_amplitude_weight,DSA_pitch_normalized_pitch_weight,DSA_amplitude_pitch_weight,DSA_amplitude_amplitude_weight,DSA_amplitude_normalized_pitch_weight,prosody_pitch_weight,prosody_dur_weight,prosody_normalized_pitch_weight,music_pitch_weight,music_dur_weight,music_normalized_pitch_weight
C,22,1,1,21,0.66,12,11,14,yes,12.6667,0.89583,0.45833,2.5533,-0.25664,0.90867,1.0404,-0.26767,0.79537,1.998,0.1615,0.92521,2.921,1.2596,0.6987
C,24,1,0,24,0.41667,9,14,15,yes,6.4286,0.9375,0.64583,4.1603,-0.1597,0.96303,0.92062,0.84473,0.5215,3.6724,0.10411,0.97243,0.92114,0.45658,0.6686
C,24,1,0,23,0.41667,10,14,15.5,yes,15.4286,0.52083,0.45833,0.23604,0.033977,0.87417,0.13779,-0.069023,0.66626,0.21349,0.091018,0.7011,0.84648,0.27021,0.75802
C,23,1,0,22,0.41667,9,14,15.7143,yes,24,0.75,0.625,1.2287,0.81337,0.6017,1.18E-15,0.50065,2.36E-15,0.83152,0.21472,0.79477,1.9074,1.4666,0.56533
C,23,2,0,23,0.66,9,13,16.3333,yes,63.5,0.47917,0.5625,-0.15533,1.3607,0.10246,-0.42139,0.27092,0.60867,-0.14764,0.55093,0.21135,2.574,1.323,0.66051
C,1997,1,8,22,0.83,10,11,18.6667,yes,31.3333,0.79167,0.54167,1.4405,-0.32186,0.81737,0.21031,0.34698,0.37738,0.7384,0.29685,0.71326,47.3479,4.4772,0.91361
C,23,2,0,22,0.41667,8,12,19,yes,39.1429,0.8125,0.5,1.8797,-0.19613,0.90552,0.75643,0.16087,0.82462,0.22629,0.58123,0.28023,1.3246,0.88385,0.59978
C,25,1,0,24,0.41667,7,14,21.8571,yes,31.7143,0.6875,0.58333,0.69132,-0.19224,0.78242,-0.15279,0.22858,0.40064,0.3448,0.38049,0.4754,3.5281,0.84798,0.80623
C,25,1,0,25,0.41667,6,12,24,yes,15.2857,0.85417,0.70833,1.3394,-0.2548,0.84017,0.8497,0.93274,0.47671,1.1184,0.34584,0.76381,6.2607,2.1783,0.74188
C,28,1,0,27,0.75,10,17,28.2,yes,36,0.89583,0.47917,3.1668,0.3294,0.90578,0.3054,0.034366,0.89885,-1.4417,0.15202,0.90461,2.8659,1.2381,0.69832
C,23,1,0,22,0.41667,6,16,29.25,yes,43.4286,0.5625,0.60417,0.38777,0.31931,0.54841,0.036236,0.52427,0.064648,1.034,1.9399,0.3477,2.5104,0.37547,0.86989
C,22,1,1,22,0.66,11,10,35.5,yes,41.6667,0.6875,0.8125,0.98661,0.98661,0.5,-0.5503,1.2765,0.30123,1.1075,1.0613,0.51066,2.7641,1.6379,0.62792
C,24,2,0,24,0.66,7,15,37.6667,yes,38.1429,0.9375,0.5,3.104,-0.10776,0.96645,0.65097,0.22748,0.74104,2.0067,0.20318,0.90806,2.5536,1.5403,0.62375
C,23,1,1,22,0.66,8,11,38.5,yes,36.6667,0.77083,0.64583,1.5137,0.055551,0.9646,0.86355,0.94133,0.47845,0.44958,1.3362,0.25175,2.5467,2.401,0.51472
C,23,1,0,22,0.41667,10,14,41,yes,29.8571,0.875,0.41667,1.9904,0.13729,0.93548,0.43843,-0.43843,0.5,-1.2136,0.053772,0.95757,3.7975,1.5744,0.70692
C,23,1,20,22,0.41667,4,19,45,yes,29.2,0.91667,0.54167,35.018,0.30509,0.99136,37.6886,1.2573,0.96772,2.4043,0.50592,0.82616,42.6417,3.7806,0.91856
E,20,2,0,,,,,2.8,yes,16.3333,0.58333,0.70833,0.43558,0.96423,0.31117,-0.1085,1.4069,0.071597,0.72405,0.96825,0.42785,3.1885,1.597,0.66628
E,26,2,0,,,,,4.6667,yes,22.5,0.5625,0.875,0.57476,0.95676,0.37529,-0.35502,2.6518,0.11807,0.24951,1.8882,0.11672,2.2875,1.4393,0.61379
E,19,2,0,,,,,4.8333,yes,21.8333,0.75,0.60417,1.6544,-0.47493,0.77696,0.3938,0.3938,0.5,-0.17485,0.65165,0.21155,2.4733,1.8128,0.57705
E,25,1,8,,,,,5.1667,yes,36.6667,0.95833,0.83333,3.6705,-0.52885,0.87406,-1.0272,3.0304,0.25315,1.5944,1.1411,0.58285,4.1212,3.1377,0.56774
E,31,1,4.5,,,,,6,yes,15.7143,0.9375,0.60417,3.104,0.10776,0.96645,1.1423,0.42542,0.72864,0.67858,2.3235,0.22604,2.7873,1.8274,0.60401
E,28,2,1,,,,,6.6667,yes,32,0.77083,0.64583,1.2701,0.86631,0.59449,-0.18111,0.46027,0.28237,0.34284,0.81778,0.29539,0.35156,0.18747,0.65221
E,18,2,0,,,,,7.1667,yes,18.6667,0.75,0.8125,1.1858,0.19269,0.86021,0.064935,1.8654,0.03364,0.2623,1.8391,0.12482,4.1939,1.7473,0.7059
